epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19699,2.85139,5.4824,2.81069,0,0,0,0,3.09546,5.4708,2.99758,0,0,0
2,4.13385,3.87379,5.66756,3.00995,0,0,0,0,3.09401,5.46715,3.00792,2.47525e-06,2.47525e-06,2.47525e-06
3,5.72583,4.01983,5.62986,3.02248,0,0,0,0,3.08085,5.47694,2.96712,4.901e-06,4.901e-06,4.901e-06
4,7.54891,3.59601,5.67167,2.62031,0,0,0,0,3.07472,5.48024,2.93479,7.27725e-06,7.27725e-06,7.27725e-06
5,9.49019,2.85668,5.51642,2.65975,0,0,0,0,3.0491,5.47619,2.91223,9.604e-06,9.604e-06,9.604e-06
6,11.0863,3.20277,5.55049,2.95806,0,0,0,0,3.02785,5.47322,2.89891,1.18813e-05,1.18813e-05,1.18813e-05
7,13.3438,3.202,5.60556,2.822,0,0,0,0,3.01892,5.46546,2.87987,1.4109e-05,1.4109e-05,1.4109e-05
8,15.0283,4.23082,5.46582,2.85237,0,0,0,0,3.03483,5.46415,2.8618,1.62873e-05,1.62873e-05,1.62873e-05
9,16.9716,3.17073,5.49161,2.69315,0,0,0,0,3.03483,5.46415,2.8618,1.8416e-05,1.8416e-05,1.8416e-05
10,18.9343,2.75907,5.51552,2.71516,0,0,0,0,3.04232,5.46041,2.85613,2.04952e-05,2.04952e-05,2.04952e-05
11,20.5302,3.12385,5.61438,2.64366,0,0,0,0,3.04232,5.46041,2.85613,2.2525e-05,2.2525e-05,2.2525e-05
12,22.3674,2.83212,5.45635,2.61738,0,0,0,0,3.04832,5.4506,2.84134,2.45053e-05,2.45053e-05,2.45053e-05
13,24.0025,3.19861,5.45591,2.42668,0,0,0,0,3.04832,5.4506,2.84134,2.6436e-05,2.6436e-05,2.6436e-05
14,25.7144,3.02937,5.44808,2.63151,0,0,0,0,3.04366,5.44977,2.80764,2.83172e-05,2.83172e-05,2.83172e-05
15,27.4171,2.78958,5.42177,2.59589,0,0,0,0,3.04366,5.44977,2.80764,3.0149e-05,3.0149e-05,3.0149e-05
16,29.2128,3.43356,5.35678,2.65785,0,0,0,0,3.00773,5.45219,2.76027,3.19313e-05,3.19313e-05,3.19313e-05
17,30.7891,3.13666,5.47683,2.69995,0,0,0,0,3.00773,5.45219,2.76027,3.3664e-05,3.3664e-05,3.3664e-05
18,32.7707,3.19109,5.43743,2.73815,0,0,0,0,2.95625,5.44477,2.72083,3.53473e-05,3.53473e-05,3.53473e-05
19,34.398,2.76634,5.34741,2.38729,0,0,0,0,2.95625,5.44477,2.72083,3.6981e-05,3.6981e-05,3.6981e-05
20,36.3418,3.28594,5.20829,2.48343,0,0,0,0,2.95033,5.43783,2.68555,3.85653e-05,3.85653e-05,3.85653e-05
21,38.1183,2.72207,5.41388,2.11042,0,0,0,0,2.95033,5.43783,2.68555,4.01e-05,4.01e-05,4.01e-05
22,40.5311,3.00004,5.46716,2.37377,0,0,0,0,2.95089,5.423,2.6629,4.15853e-05,4.15853e-05,4.15853e-05
23,42.3616,2.83443,5.21263,2.43728,0,0,0,0,2.95089,5.423,2.6629,4.3021e-05,4.3021e-05,4.3021e-05
24,44.2666,3.01316,5.41551,2.30175,0,0,0,0,2.95089,5.423,2.6629,4.44073e-05,4.44073e-05,4.44073e-05
25,46.163,3.02952,5.29185,2.43648,0,0,0,0,2.89579,5.40379,2.61315,4.5744e-05,4.5744e-05,4.5744e-05
26,48.462,2.96824,5.35792,2.07658,0,0,0,0,2.89579,5.40379,2.61315,4.70312e-05,4.70312e-05,4.70312e-05
27,50.3344,2.70114,5.32182,2.17044,0,0,0,0,2.89579,5.40379,2.61315,4.8269e-05,4.8269e-05,4.8269e-05
28,52.4697,3.0287,5.27415,2.5304,0,0,0,0,2.87672,5.39347,2.55476,4.94573e-05,4.94573e-05,4.94573e-05
29,54.0928,2.90685,5.17322,2.31551,0,0,0,0,2.87672,5.39347,2.55476,5.0596e-05,5.0596e-05,5.0596e-05
30,55.7131,2.97387,5.25867,2.08977,0,0,0,0,2.87672,5.39347,2.55476,5.16853e-05,5.16853e-05,5.16853e-05
31,57.5395,2.91594,5.27588,2.07472,0,0,0,0,2.87098,5.36831,2.52061,5.2725e-05,5.2725e-05,5.2725e-05
32,59.2561,3.55077,5.3144,2.08737,0,0,0,0,2.87098,5.36831,2.52061,5.37153e-05,5.37153e-05,5.37153e-05
33,61.008,3.21602,5.21161,2.31842,0,0,0,0,2.87098,5.36831,2.52061,5.4656e-05,5.4656e-05,5.4656e-05
34,62.8317,2.92149,5.1384,2.43636,0,0,0,0,2.83402,5.3152,2.45859,5.55472e-05,5.55472e-05,5.55472e-05
35,64.4779,2.97919,5.16805,2.05933,0,0,0,0,2.83402,5.3152,2.45859,5.6389e-05,5.6389e-05,5.6389e-05
36,66.187,2.85864,5.15761,2.05614,0,0,0,0,2.83402,5.3152,2.45859,5.71813e-05,5.71813e-05,5.71813e-05
37,68.0076,3.35085,5.20241,2.07777,0,0,0,0,2.83402,5.3152,2.45859,5.7924e-05,5.7924e-05,5.7924e-05
38,69.6738,2.56565,5.12552,2.15026,0,0,0,0,2.76999,5.27533,2.35856,5.86173e-05,5.86173e-05,5.86173e-05
39,71.3133,2.63036,5.07353,2.2687,0,0,0,0,2.76999,5.27533,2.35856,5.9261e-05,5.9261e-05,5.9261e-05
40,73.0597,3.27537,5.0408,2.59884,0,0,0,0,2.76999,5.27533,2.35856,5.98552e-05,5.98552e-05,5.98552e-05
41,74.762,2.77775,4.99561,1.88168,0,0,0,0,2.76999,5.27533,2.35856,6.04e-05,6.04e-05,6.04e-05
42,76.4709,3.06234,5.07599,2.05547,0,0,0,0,2.79286,5.20033,2.2704,6.08953e-05,6.08953e-05,6.08953e-05
43,78.3288,2.68601,5.02662,2.21241,0,0,0,0,2.79286,5.20033,2.2704,6.1341e-05,6.1341e-05,6.1341e-05
44,80.2887,2.65723,4.98548,1.8924,0,0,0,0,2.79286,5.20033,2.2704,6.17372e-05,6.17372e-05,6.17372e-05
45,81.9673,3.33784,4.9973,2.3157,0,0,0,0,2.79286,5.20033,2.2704,6.2084e-05,6.2084e-05,6.2084e-05
46,83.7693,2.87698,4.96031,2.23327,0,0,0,0,2.62074,5.12819,2.05605,6.23812e-05,6.23812e-05,6.23812e-05
47,85.7153,2.70201,4.90134,2.40737,0,0,0,0,2.62074,5.12819,2.05605,6.2629e-05,6.2629e-05,6.2629e-05
48,88.4998,2.70287,5.17558,2.30045,0,0,0,0,2.62074,5.12819,2.05605,6.28273e-05,6.28273e-05,6.28273e-05
49,90.0339,2.79525,4.73855,2.27523,0,0,0,0,2.62074,5.12819,2.05605,6.2976e-05,6.2976e-05,6.2976e-05
50,92.3197,3.0605,4.83046,1.97518,0,0,0,0,2.51034,5.121,1.99973,6.30753e-05,6.30753e-05,6.30753e-05
51,94.0585,2.82775,4.66545,1.87415,0,0,0,0,2.51034,5.121,1.99973,6.3125e-05,6.3125e-05,6.3125e-05
52,96.8543,2.3855,4.64911,1.83925,0,0,0,0,2.51034,5.121,1.99973,6.31252e-05,6.31252e-05,6.31252e-05
53,98.3771,2.4008,4.57628,1.66916,0,0,0,0,2.51034,5.121,1.99973,6.3076e-05,6.3076e-05,6.3076e-05
54,100.1,3.15219,4.69583,1.87994,0,0,0,0,2.51034,5.121,1.99973,6.29773e-05,6.29773e-05,6.29773e-05
55,102.171,2.54404,4.72867,2.02868,0,0,0,0,2.49112,5.10414,1.96605,6.2829e-05,6.2829e-05,6.2829e-05
56,106.342,2.73741,4.70939,1.81113,0,0,0,0,2.49112,5.10414,1.96605,6.26312e-05,6.26312e-05,6.26312e-05
57,108.699,2.43499,4.53698,1.6571,0,0,0,0,2.49112,5.10414,1.96605,6.2384e-05,6.2384e-05,6.2384e-05
58,113.369,2.78768,4.53736,1.93657,0,0,0,0,2.49112,5.10414,1.96605,6.20872e-05,6.20872e-05,6.20872e-05
59,123.031,2.54325,4.60039,1.83783,0,0,0,0,2.49112,5.10414,1.96605,6.1741e-05,6.1741e-05,6.1741e-05
60,127.472,2.7542,4.50937,1.99867,0,0,0,0,2.45139,5.04176,1.9098,6.13453e-05,6.13453e-05,6.13453e-05
61,130.368,2.31664,4.4683,1.68417,0,0,0,0,2.45139,5.04176,1.9098,6.09e-05,6.09e-05,6.09e-05
62,132.518,2.49891,4.6134,2.0559,0,0,0,0,2.45139,5.04176,1.9098,6.04053e-05,6.04053e-05,6.04053e-05
63,134.891,2.30782,4.53412,1.97611,0,0,0,0,2.45139,5.04176,1.9098,5.9861e-05,5.9861e-05,5.9861e-05
64,137.599,2.4454,4.6415,1.88053,0,0,0,0,2.45139,5.04176,1.9098,5.92673e-05,5.92673e-05,5.92673e-05
65,139.754,2.44501,4.63511,2.06413,0,0,0,0,2.46637,4.95031,1.87527,5.8624e-05,5.8624e-05,5.8624e-05
66,142.548,2.3856,4.46494,1.81364,0,0,0,0,2.46637,4.95031,1.87527,5.79312e-05,5.79312e-05,5.79312e-05
67,145.391,2.37534,4.31906,1.68829,0,0,0,0,2.46637,4.95031,1.87527,5.7189e-05,5.7189e-05,5.7189e-05
68,148.285,2.25845,4.1662,1.48598,0,0,0,0,2.46637,4.95031,1.87527,5.63972e-05,5.63972e-05,5.63972e-05
69,149.933,2.61022,4.54783,1.84173,0,0,0,0,2.46637,4.95031,1.87527,5.5556e-05,5.5556e-05,5.5556e-05
70,151.702,2.4202,4.30048,1.72941,0,0,0,0,2.46637,4.95031,1.87527,5.46653e-05,5.46653e-05,5.46653e-05
71,154.029,2.72283,4.37442,1.92004,0,0,0,0,2.44813,4.84941,1.84146,5.3725e-05,5.3725e-05,5.3725e-05
72,157.483,2.51034,4.47525,1.74837,0,0,0,0,2.44813,4.84941,1.84146,5.27352e-05,5.27352e-05,5.27352e-05
73,159.818,2.62858,4.57558,2.04666,0,0,0,0,2.44813,4.84941,1.84146,5.1696e-05,5.1696e-05,5.1696e-05
74,161.653,2.36957,4.35529,1.78447,0,0,0,0,2.44813,4.84941,1.84146,5.06073e-05,5.06073e-05,5.06073e-05
75,163.504,2.54439,4.44049,1.86026,0,0,0,0,2.44813,4.84941,1.84146,4.9469e-05,4.9469e-05,4.9469e-05
76,166.117,2.58924,4.51004,1.83904,0,0,0,0,2.44813,4.84941,1.84146,4.82813e-05,4.82813e-05,4.82813e-05
77,167.988,2.5884,4.54442,1.79691,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.7044e-05,4.7044e-05,4.7044e-05
78,170.1,2.91939,4.23299,1.76684,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.57572e-05,4.57572e-05,4.57572e-05
79,171.955,2.41271,4.5273,2.06284,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.4421e-05,4.4421e-05,4.4421e-05
80,174.281,2.34367,4.17836,1.62028,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.30352e-05,4.30352e-05,4.30352e-05
81,176.695,2.69328,4.59758,2.0593,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.16e-05,4.16e-05,4.16e-05
82,178.908,2.47404,4.43223,1.97882,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,4.01152e-05,4.01152e-05,4.01152e-05
83,181.286,2.39764,4.233,1.73662,1,0.06667,0.53332,0.26666,2.44514,4.78701,1.85706,3.8581e-05,3.8581e-05,3.8581e-05
84,183.481,2.57132,4.50319,1.62992,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,3.69973e-05,3.69973e-05,3.69973e-05
85,185.286,2.90658,4.34102,1.87972,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,3.5364e-05,3.5364e-05,3.5364e-05
86,186.926,2.91492,4.23649,1.82155,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,3.36813e-05,3.36813e-05,3.36813e-05
87,188.741,2.58679,4.33361,1.75725,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,3.1949e-05,3.1949e-05,3.1949e-05
88,191.62,2.31801,4.10253,1.57773,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,3.01673e-05,3.01673e-05,3.01673e-05
89,193.314,2.38314,4.3592,1.77987,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,2.8336e-05,2.8336e-05,2.8336e-05
90,195.25,2.98283,4.09377,1.85976,0.4,0.13333,0.24016,0.11728,2.41635,4.66149,1.79781,2.64552e-05,2.64552e-05,2.64552e-05
91,196.991,2.47974,3.91781,1.71865,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,2.4525e-05,2.4525e-05,2.4525e-05
92,198.576,2.58051,3.94809,1.74266,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,2.25452e-05,2.25452e-05,2.25452e-05
93,200.252,2.19358,3.95689,1.56401,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,2.0516e-05,2.0516e-05,2.0516e-05
94,202.235,2.61767,4.13452,1.68649,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,1.84372e-05,1.84372e-05,1.84372e-05
95,204.237,2.3166,3.81518,1.596,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,1.6309e-05,1.6309e-05,1.6309e-05
96,206.205,2.48736,3.97848,1.75698,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,1.41313e-05,1.41313e-05,1.41313e-05
97,207.988,2.48233,3.92087,1.6071,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,1.1904e-05,1.1904e-05,1.1904e-05
98,209.735,2.57716,4.10739,1.89746,0.45455,0.33333,0.31825,0.13367,2.39386,4.57192,1.78099,9.62725e-06,9.62725e-06,9.62725e-06
99,211.417,2.34373,4.00063,1.79123,0.22727,0.33333,0.26237,0.106,2.40828,4.45649,1.77424,7.301e-06,7.301e-06,7.301e-06
100,213.362,2.24425,3.84262,1.56385,0.22727,0.33333,0.26237,0.106,2.40828,4.45649,1.77424,4.92525e-06,4.92525e-06,4.92525e-06
